session_id,activity,start_state,event_start_s,impact_s,event_end_s,end_state,distance_m_inferred,distance_band_inferred,direction_inferred,confidence,auto_include_in_training,quality_flags,method_version,method_summary
falling_20260717_142318_20hz,fall,standing,0.0,1.65,2.15,lying,3.127,middle,left,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142341_20hz,fall,standing,0.55,1.1,2.1,lying,2.388,middle,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142423_20hz,fall,standing,0.7,2.35,2.7,lying,1.546,near,forward,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142524_20hz,fall,standing,0.0,0.35,1.8,lying,1.746,near,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142618_20hz,fall,standing,0.65,1.75,2.85,lying,1.763,near,right,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142754_20hz,fall,standing,0.5,1.25,2.25,lying,1.645,near,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142808_20hz,fall,standing,0.95,2.05,3.15,lying,2.787,middle,left,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_142825_20hz,fall,standing,3.15,4.35,4.75,unknown,1.715,near,forward,medium,True,event_near_recording_boundary;geometry_edge_warning;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_143032_20hz,fall,standing,0.0,0.2,0.8,lying,2.652,middle,forward,medium,True,event_near_recording_boundary;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_143153_20hz,fall,standing,0.15,0.8,2.0,lying,2.026,middle,right,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_143219_20hz,fall,standing,0.75,1.85,2.95,lying,2.002,middle,right,medium,True,geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_143235_20hz,fall,standing,0.95,2.05,3.15,lying,2.852,middle,left,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_143854_20hz,fall,standing,0.0,0.95,1.45,lying,1.188,near,left,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_143914_20hz,fall,standing,0.0,1.65,2.15,unknown,2.439,middle,backward,low,False,event_near_recording_boundary;high_cleaning_drop=56.0%;missing_post_event_stability;weak_height_evidence,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_143932_20hz,fall,standing,0.0,1.75,2.15,lying,1.527,near,forward,low,False,event_near_recording_boundary;geometry_edge_warning;weak_motion_peak,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_144138_20hz,fall,standing,2.2,3.3,4.4,lying,1.141,near,forward,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_144308_20hz,fall,standing,1.05,2.4,2.85,lying,1.742,near,forward,medium,True,geometry_edge_warning;multiple_or_broad_peaks,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
falling_20260717_144337_20hz,fall,standing,0.0,0.25,0.8,lying,1.922,near,unknown,medium,True,event_near_recording_boundary;geometry_edge_warning,auto_event_heuristic_v1,"Heuristic radar-only event inference using robust normalized xyz displacement, height/range/elevation derivatives, peak prominence, post-impact low-motion stability, estimated-height change, and cleaning-drop quality gates. Not manually verified ground truth."
